categoryLabel,categoryID
Foundation,foundation-makeup
Concealer,concealer
Face Primer,makeup-primer-face-primer
Highlighter,luminizer-luminous-makeup
Contour,contour-palette-brush
Cheek,cheek-makeup
Eye Palettes,eyeshadow-palettes
Mascara,mascara
Eyeliner,eyeliner
Eyebrow,eyebrow-makeup-pencils
Lip Gloss,lip-gloss
Lipstick,lipstick
Lip Liner,lip-liner-lip-pencils
Blush,blush
Bronzer,bronzer-makeup
Moisturizers,moisturizing-cream-oils-mists
Cleansers,cleanser
Makeup Removers,makeup-remover-skincare
Face Serums,face-serum
Blemish & Acne Treatments,acne-products-acne-cream
Sunscreen,sunscreen-sun-protection
Highlighter,luminizer-luminous-makeup
Eyebrow,eyebrow-makeup-pencils
Lip Plumper,lip-plumper
Facial Peels,facial-peels
Masks,face-mask
Face Masks,facial-treatment-masks
Sheet Masks,sheet-masks
Eye Masks,eye-mask
Eye Care,eye-treatment-dark-circle-treatment
Eye Creams & Treatments,eye-cream-dark-circles
Lip Balms & Treatments,lip-balm-lip-care
Sunscreen,sunscreen-sun-protection
Face Sunscreen,face-sunscreen
Body Sunscreen,sunscreen
Dark Spots,dark-spot-remover
Clean Skincare,clean-skin-care


